UserId,V1,V2,V3,V4
1CDE4D,,5233,982,330
1FEE19,2.89680369262386,6968,262,330
B14416,,4787,1608,267
5F3DAA,2.8330960250239206,5780,1486,255
089BA0,,2407,563,325
BBE74E,4.120524595418137,6392,262,330
C2941E,,7759,392,330
428220,,7272,1079,56
01F2DC,,2730,1421,330
60260E,3.2634663541415097,152,1591,290
18D6D5,2.6630115709866082,4520,1521,22
1C63A8,,2518,262,330
5DCD67,3.2539888171991,582,154,290
7D679B,,4509,630,330
D6989E,,1191,57,56
98474E,,169,978,330
D01E55,,1484,1529,330
8E9D62,3.2295503129562606,6048,1227,45
55F10A,2.6445790815566337,7909,1,0
552EE3,2.9430909703998775,3921,1134,330
D65977,3.84763488775625,2436,49,290
CB37D9,,2312,1427,121
2E10F9,,5604,1134,330
DC03C2,2.9443741397900487,1659,1060,121
30D31E,4.002898371344429,5251,262,330
A9013E,,696,1555,330
DDDE67,3.48092842297386,1500,621,330
D3679A,3.1665086717932094,2590,134,121
86BCC6,2.9402233943218707,1830,49,196
8D59A4,3.168681109825353,284,51,330
DE174F,2.9986098914960504,6580,938,69
9261CB,,5779,1087,330
96C7AA,3.5298382180686207,1764,262,330
AD128D,,4172,439,325
099139,2.8396573798732043,2850,1591,330
728E5D,3.174242634429172,4740,1187,56
AE259B,3.1445532942861614,6332,938,290
B63ECA,3.513107965568954,7643,755,154
EBED8F,,1315,1030,330
8ACEDF,3.4677773778257857,7302,982,330
C27A5B,2.63569744654518,6398,262,330
B17A22,2.8439427169845657,344,1591,330
639BCC,,4885,928,91
DBEA58,3.9401567358998757,840,1030,330
6497EC,,755,938,121
A2D37A,3.433799209300601,3145,134,121
B5F88C,3.0412741221682817,7582,1512,154
14C4CD,,1500,621,330
FD6323,,6120,1241,154
934F75,2.8388491361985158,4172,439,325
8B4A59,3.508596864719391,5991,1555,330
965FFB,,992,990,121
9410BB,,7118,1555,330
6DAA61,3.773406800690673,2346,703,330
5E3507,,1191,57,56
410916,3.1918887066017723,1497,1598,330
1BEC54,,6115,755,154
6087FD,,2199,57,56
CA00FF,3.140122260208356,402,1030,330
FF0F93,,7363,487,154
B8D2C8,3.4011581792417265,8014,49,330
B79E2C,,3628,1555,330
8CA06E,4.040520066918871,5232,982,330
4CBE0E,3.4649789437514213,4269,1218,115
074FB1,,4909,938,22
4A227D,3.402952678348405,7741,1275,56
6E2E3D,3.7590868649088103,2559,844,330
547604,,4740,1187,56
33E29D,,7526,233,56
9F8C4D,3.782758319622573,6088,982,330
88A3E0,3.170592217704534,7314,1079,56
A8AB79,3.5182774738602833,2801,439,325
155DA9,,7837,894,330
50C269,3.4119129636519805,279,938,222
6B21D7,3.625001969330675,4176,262,330
EADDA6,,1446,1348,330
4ADA31,,7526,233,56
E6CA64,2.905687039704887,5251,262,330
9B8D94,2.974570002617457,5388,1079,56
04757E,,2345,1079,56
466EE2,,6380,262,330
A0261D,,1942,262,330
4227C1,,2348,1087,330
0C3EB8,,6297,262,330
467402,3.710409722808323,4172,439,325
F055D4,,4197,262,330
86E1C7,,6016,1422,330
7CBB79,,2412,511,330
D72607,3.984025298042203,5663,1422,330
C94A16,3.7434619431233,5800,1529,330
163E34,,7315,1,0
3FEDD6,2.9878037684424354,1343,154,290
D1ABAB,3.9069877626983565,2181,1591,330
854229,3.675088234520079,7183,1417,149
9F0D30,,2865,982,330
B1FC46,,3152,51,112
4E28E0,,4503,1134,330
CA4172,2.9307331127211262,5852,116,228
50A909,3.7303471973264144,2573,350,330
7F47B8,3.7791689679190457,4300,938,290
72462B,3.266188853142824,4916,610,143
69C683,,582,938,290
08B128,3.9718396072184285,4124,102,330
AB1209,3.8647988345997097,2556,844,330
F5000E,3.5980419425013066,3330,439,325
7BDCBD,,6120,511,330
0B1BBB,,4052,57,56
BF423F,,1568,1076,330
242EFA,2.9801301792322366,4850,626,330
51872D,,5567,621,330
2090A9,3.2027713840912617,473,1485,255
E6BDEF,3.479908143661268,4578,388,196
008CBF,,6306,262,330
31B1AE,4.043894598222942,4079,1134,330
281903,,1251,1072,330
97DEA2,,1119,1555,330
EBEBED,4.054746956836957,311,867,330
8383F2,3.338585975187556,3764,588,124
C7CC0E,3.5517283134706874,3339,1516,330
636267,2.5615922861998337,7621,1008,115
E04F4A,,6088,890,330
BB074E,,1449,1030,330
0CA3A4,3.1833881018298102,311,867,330
BB4106,4.065572827273869,5479,961,330
E08956,3.8910755734386613,3929,867,330
DDAE7D,3.199121379666861,2211,1005,222
FDF687,3.342378038931133,2718,504,300
4DC2A7,,210,1134,330
87BC4F,3.861570197742723,873,890,330
96058A,,6115,755,154
9FFFE8,,1436,1030,330
5376FF,3.6424889023470435,6646,843,330
6A9D90,3.7900878253988424,3459,473,330
567860,,1233,119,22
02D5CF,,754,982,330
D0A398,,6220,262,330
36562C,,7526,233,56
686096,3.3436824760258435,6372,262,330
ABDA73,3.5583577136172666,552,843,330
3B3BAB,3.1686945966362305,3571,134,121
889237,,1899,982,330
2AEDB4,,1966,688,330
6334B0,3.2515348078491706,6306,262,330
4FF3CB,4.125949342297952,1260,894,330
71E8F2,,3413,1284,325
7267ED,,3799,262,330
B2AFE0,,7864,982,330
59664D,4.1426992869630075,2332,439,325
9ACFC0,,4143,938,281
3917D2,3.2251141720756475,4450,638,147
F3E200,,1904,1046,22
58E057,3.2392100261735854,2301,1094,222
4CD2DF,3.199412287956858,4081,1010,115
512786,,6420,1275,56
8C3077,,4116,34,249
80D189,3.02343084131765,6413,938,42
68CCAB,3.5922329323194013,4017,788,154
95F3D7,3.6314693433298983,5224,134,121
26E2B8,,5680,890,330
C2ED07,2.9856222749817185,215,938,255
11FF63,3.2976857268344864,4118,772,255
AC9A3F,,5048,394,330
58F27F,,1281,262,337
701BED,3.4890731632597722,7418,320,196
EC2522,4.125249217741512,5317,1555,330
A104B4,3.005519706504106,495,1521,22
D5E90B,,3148,905,330
A90C96,3.769718747243674,7057,262,330
90AC6A,,375,1529,330
F8C6DF,,6148,511,330
A8FE68,3.363854732815265,3451,1398,45
EC08B2,4.18591188249237,6048,1227,45
5B1237,,267,630,330
6098D2,3.4470596329305514,3560,307,293
FEA3C6,,5780,938,255
C834BD,3.5291259008088987,4172,790,325
942326,3.8257503394067367,279,938,222
D43CD3,3.335076217158919,6001,982,330
DA77E5,,7800,1181,243
