user_id,item_id,rating
99DDA4,4D49D0,7
99DDA4,D77103,4
375A33,AF80AB,4
3D735D,E21DE4,11
73EF9C,1B52B5,7
38A44E,93F0A2,5
1868DF,080392,4
516868,4C9FA0,15
46D767,65862D,6
BAE8DE,1350E4,6
375A33,FE2BB4,5
AD2F4E,962E80,5
EBD5E2,A4DA22,5
A72AA5,B02D4E,10
CFC1DD,E967C7,5
D2FB74,67848A,2
5E4FAA,93F0A2,8
287135,78FEAC,11
074565,3ED5B4,5
61EB77,86AC47,10
287135,3874EC,7
C418A2,028EBE,7
6A9142,1E6BF9,5
3E8C19,F9A7E2,6
8B448E,954956,11
B212F6,524719,14
429526,E6A45F,4
A4C136,912AAB,7
457095,B06165,8
D9CB76,1C07D1,5
38A44E,01245C,7
EE0B63,32CCFC,8
148CB6,1ED4D4,8
50DABB,C29496,6
4971B6,44E908,12
64C253,A7E29A,15
560A97,AFA01C,4
968571,2BEBEE,6
FFFD8D,C34B5F,3
3DF472,906D99,8
905E3D,9D6BE2,6
4304B9,8F822F,8
11D194,62ABFC,6
50DABB,D77103,4
89B0E2,1B0C9B,2
3B07F7,BCE539,8
C5AF05,52AF4F,7
304E15,0D3DE6,5
C4C98F,7E5E9C,4
3A2BDE,36EBCD,5
8C05D8,23C70E,7
1E797C,B0E3EC,3
74831C,1B0C9B,5
737508,F0F51A,3
4DCFAB,EA88CA,4
F9AA53,C1BE85,1
83A551,D75A98,8
A7475C,23C70E,5
7A73F0,7E5E9C,15
FC9F77,1EA0B3,6
F5BD0D,938643,5
29967D,6B3FD4,6
8F6DEC,E967C7,5
53F0F9,5725DB,2
0CBECA,A53A3A,4
C5AF05,40AC45,6
718989,F8D8B5,8
64C253,FFDB4B,15
07E18B,EEFA56,3
E4E7CB,EAB8BB,9
9505F5,5A37F9,7
5943FA,40AC45,2
64C253,7A6458,15
D2E5E8,43D620,6
FA8E8F,8280A0,9
429526,4B5888,3
93FA6D,328EAF,7
53F0F9,0A0D4F,4
11ACCD,D3B395,5
BAE8DE,373217,7
99DDA4,8AA5E4,5
4DCFAB,2621CB,2
61EB77,757367,5
516868,813D79,15
8F115E,9D6BE2,6
AD2F4E,76EB5A,6
51BA68,046678,4
4B6294,EB26B3,4
2885A0,E163CF,11
72085C,12D9F2,3
9EF338,370812,15
64C253,938643,15
9505F5,C0F283,7
D2E5E8,EE4ED8,5
A1D74A,B614E4,6
D81FED,029F2E,7
490A2C,EA4BBE,4
318C21,2AD526,5
7F0E02,248973,3
3C9DB0,7DBBE3,5
718989,2D2537,3
046D0F,604A4B,11
D68807,6C4383,7
3ACE0C,5BF6EE,7
560A97,0540EB,7
9AE86F,54AD77,4
7B9B17,B18999,6
2E26D5,C702EF,13
320DCE,F0F51A,5
8F6DEC,F552A0,5
94B855,807F4E,6
3ACE0C,EA5FBC,3
C418A2,3DCD1B,7
570927,A4DA22,7
595449,8C2CBD,8
055A9E,A1235B,10
763367,31F8E4,6
304E15,B7D5DA,6
FC1378,A38A4A,11
40C657,8E2F41,8
01D7EA,745288,5
429526,F9253A,6
E5B850,962DB3,5
7D0127,40AC45,6
442F6E,69D6A4,9
50DABB,3874EC,4
622EA1,8B2710,5
2EB7B3,BF9CB3,14
61C34E,3C1DA2,6
516868,12DFDB,15
260FC5,36EBCD,4
8FBC11,FEAECC,2
320DCE,3F4777,6
9AB02E,745288,9
2E4EC0,7370F7,4
8C05D8,9D6BE2,8
513097,1387AC,5
BEC709,F8D8B5,10
D2E5E8,3F950E,8
7A0AB7,5F41D5,5
737508,52B046,3
7B12D5,43D620,8
D953C8,B33A6A,5
763367,9D6BE2,7
009A88,EE13D2,5
71D143,05CD12,14
C5AF05,1FA901,5
F8B59C,4654C1,3
4A9680,01F8E6,6
DCA602,483DD1,7
EB9C47,10DD0F,15
F6ABD5,48A3FB,8
570927,A0AC5F,4
4DB767,A0AC5F,8
221AB6,EDD18A,4
53F0F9,B87871,5
3B07F7,43688C,5
E2CDAF,2BEBEE,5
6B811E,BA2731,6
169321,D9D6E0,5
65883A,A62E36,9
C02AAD,6C6785,6
B212F6,AA3DF1,4
BAE8DE,2EA2C4,9
E76204,48A3FB,5
D145BC,2CE554,4
46D767,F225EF,6
260FC5,FE4DAD,11
11ACCD,2A2950,3
9AB02E,9F2CB6,9
FFFD8D,F28B3C,5
79C62F,476B62,11
6B811E,E8D861,3
7BE3F3,43688C,6
BAC3B5,BD466A,5
BC9420,79B9DB,6
8897D7,EE82F3,5
AFAC69,44453F,8
BDAA93,8B0A59,4
763367,FA90A4,8
EBD5E2,73F69B,4
6B811E,EB26B3,3
FFFD8D,3ED5B4,5
3B2DBC,536C37,5
6B0935,B02D4E,10
BAE8DE,5725DB,3
